,Order,,Part No.,,ETA Date.,,Order Q'ty,Part Name,,,,,,Delivery place,Doc,,Q'ty/box,ETA Time,Plant,,,
MD,DDFN208453,201511                D,8982521790,0PT1D,20151110,0,30,"RADIO;AM/FM,CD,D",M,IMCTM,S5NC06,FTTL,7070,IMCT,S5,PTB,3,310,SR,000000000000 FUJITSU TEN (THAILAN160JYGL0010010,*,20151104IMF1511045.TXT
MD,DDFN208454,201511                D,8982807010,0PV1D,20151110,0,60,SPEAKER ASM,M,IMCTM,S5MA12,FTTL,7070,IMCT,S5,PTB,4,310,SR,000000000000 FUJITSU TEN (THAILAN160JYGL0010010,*,20151104IMF1511045.TXT
MD,DDFN208455,201511                D,8982807010,0PV1D,20151110,0,120,SPEAKER ASM,M,IMCTM,S5MA12,FTTL,7070,IMCT,S5,PTB,4,1000,SR,000000000000 FUJITSU TEN (THAILAN160JZFL0003004,*,20151104IMF1511045.TXT
MD,DDFN208456,201511                D,8982807010,0PV1D,20151110,0,180,SPEAKER ASM,M,IMCTM,S5MA12,FTTL,7070,IMCT,S5,PTB,4,1510,SR,000000000000 FUJITSU TEN (THAILAN160JYBL0008009160JZFL0005005,*,20151104IMF1511045.TXT
MD,DDFN208457,201511                D,8982807020,0PV1D,20151110,0,120,SPEAKER ASM,M,IMCTM,S5MA13,FTTL,7070,IMCT,S5,PTB,5,1000,SR,000000000000 FUJITSU TEN (THAILAN160JZFL0003004,*,20151104IMF1511045.TXT
MD,DDFN208458,201511                D,8982807020,0PV1D,20151110,0,60,SPEAKER ASM,M,IMCTM,S5MA13,FTTL,7070,IMCT,S5,PTB,5,1510,SR,000000000000 FUJITSU TEN (THAILAN160JZFL0005005,*,20151104IMF1511045.TXT
MD,DDFN208459,201511                D,8982807030,0PT1D,20151110,0,60,SPEAKER ASM,M,IMCTM,S5AS01,1FTTL,7070,IMCT,S6,PTB,15,310,SR,000000000000 FUJITSU TEN (THAILAN160JYGL0010010,*,20151104IMF1511045.TXT
MD,DDFN208460,201511                D,8982807030,0PT1D,20151110,0,120,SPEAKER ASM,M,IMCTM,S5AS01,1FTTL,7070,IMCT,S6,PTB,15,1000,SR,000000000000 FUJITSU TEN (THAILAN160JZFL0003004,*,20151104IMF1511045.TXT
MD,DDFN208461,201511                D,8982807030,0PT1D,20151110,0,180,SPEAKER ASM,M,IMCTM,S5AS01,1FTTL,7070,IMCT,S6,PTB,15,1510,SR,000000000000 FUJITSU TEN (THAILAN160JYBL0008009160JZFL0005005,*,20151104IMF1511045.TXT
MD,DDFN208462,201511                D,8982964590,0PT1D,20151110,0,60,RADIO;ASM DVD,M,IMCTM,S5NC06,FTTL,7070,IMCT,S5,CPB,3,1000,SR,000000000000 FUJITSU TEN (THAILAN160JZFL0003004,*,20151104IMF1511045.TXT
MD,DDFN208463,201511                D,8982964590,0PT1D,20151110,0,30,RADIO;ASM DVD,M,IMCTM,S5NC06,FTTL,7070,IMCT,S5,CPB,3,1510,SR,000000000000 FUJITSU TEN (THAILAN160JZFL0005005,*,20151104IMF1511045.TXT
MD,DDFN208464,201511                D,8983122830,0PT1D,20151110,0,30,"RADIO;AM/FM,CD",M,IMCTM,S5NC06,FTTL,7070,IMCT,S5,CPB,3,1000,SR,000000000000 FUJITSU TEN (THAILAN160JYBL0008008,*,20151104IMF1511045.TXT
MD,DDFN208465,201511                D,8983122830,0PT1D,20151110,0,30,"RADIO;AM/FM,CD",M,IMCTM,S5NC06,FTTL,7070,IMCT,S5,CPB,3,1510,SR,000000000000 FUJITSU TEN (THAILAN160JYBL0009009,*,20151104IMF1511045.TXT
MD,DUFN211453,201511                D,8980529370,0PV4U,20151109,0,30,SPEAKER ASM,M,IMCTM,S0TL03,FTTL,7070,IMCT,S0,PTB,3,2030,SR,000000000000 FUJITSU TEN (THAILAN150HUDU0145145,*,20151104IMF1511045.TXT
MD,DUFN211454,201511                D,8980529370,0PV4U,20151109,0,60,SPEAKER ASM,M,IMCTM,S0TL03,FTTL,7070,IMCT,S0,PTB,3,2300,SR,000000000000 FUJITSU TEN (THAILAN150HUMU0099099150HUPU0287287,*,20151104IMF1511045.TXT
MD,DUFN211455,201511                D,8980529370,0PV4U,20151110,0,60,SPEAKER ASM,M,IMCTM,S0TL03,FTTL,7070,IMCT,S0,PTB,3,310,SR,000000000000 FUJITSU TEN (THAILAN150HUGU0375375150HUPU0288288,*,20151104IMF1511045.TXT
MD,DUFN211456,201511                D,8980529370,0PV4U,20151110,0,30,SPEAKER ASM,M,IMCTM,S0TL03,FTTL,7070,IMCT,S0,PTB,3,800,SR,000000000000 FUJITSU TEN (THAILAN150HUGU0376376,*,20151104IMF1511045.TXT
MD,DUFN211457,201511                D,8980529370,0PV4U,20151110,0,60,SPEAKER ASM,M,IMCTM,S0TL03,FTTL,7070,IMCT,S0,PTB,3,1100,SR,000000000000 FUJITSU TEN (THAILAN150HUNU0055055150HUPU0289289,*,20151104IMF1511045.TXT
MD,DUFN211458,201511                D,8980529370,0PV4U,20151110,0,120,SPEAKER ASM,M,IMCTM,S0TL03,FTTL,7070,IMCT,S0,PTB,3,1510,SR,000000000000 FUJITSU TEN (THAILAN150HUGU0377378150HUPU0290291,*,20151104IMF1511045.TXT
MD,DUFN211459,201511                D,8980529400,0PT4U,20151109,0,30,SPEAKER ASM,M,IMCTM,S9TS02,FTTL,7070,IMCT,S9,PTB,15,2030,SR,000000000000 FUJITSU TEN (THAILAN150HUDU0145145,*,20151104IMF1511045.TXT
MD,DUFN211460,201511                D,8980529400,0PT4U,20151109,0,60,SPEAKER ASM,M,IMCTM,S9TS02,FTTL,7070,IMCT,S9,PTB,15,2300,SR,000000000000 FUJITSU TEN (THAILAN150HUMU0099099150HUPU0287287,*,20151104IMF1511045.TXT
MD,DUFN211461,201511                D,8980529400,0PT4U,20151110,0,60,SPEAKER ASM,M,IMCTM,S9TS02,FTTL,7070,IMCT,S9,PTB,15,310,SR,000000000000 FUJITSU TEN (THAILAN150HUGU0375375150HUPU0288288,*,20151104IMF1511045.TXT
MD,DUFN211462,201511                D,8980529400,0PT4U,20151110,0,30,SPEAKER ASM,M,IMCTM,S9TS02,FTTL,7070,IMCT,S9,PTB,15,800,SR,000000000000 FUJITSU TEN (THAILAN150HUGU0376376,*,20151104IMF1511045.TXT
MD,DUFN211463,201511                D,8980529400,0PT4U,20151110,0,60,SPEAKER ASM,M,IMCTM,S9TS02,FTTL,7070,IMCT,S9,PTB,15,1100,SR,000000000000 FUJITSU TEN (THAILAN150HUNU0055055150HUPU0289289,*,20151104IMF1511045.TXT
MD,DUFN211464,201511                D,8980529400,0PT4U,20151110,0,120,SPEAKER ASM,M,IMCTM,S9TS02,FTTL,7070,IMCT,S9,PTB,15,1510,SR,000000000000 FUJITSU TEN (THAILAN150HUGU0377378150HUPU0290291,*,20151104IMF1511045.TXT
MD,DUFN211465,201511                D,8980529410,0PV4U,20151109,0,30,SPEAKER ASM,M,IMCTM,S0FL05,FTTL,7070,IMCT,S0,PTB,5,2030,SR,000000000000 FUJITSU TEN (THAILAN150HUDU0145145,*,20151104IMF1511045.TXT
MD,DUFN211466,201511                D,8980529410,0PV4U,20151109,0,60,SPEAKER ASM,M,IMCTM,S0FL05,FTTL,7070,IMCT,S0,PTB,5,2300,SR,000000000000 FUJITSU TEN (THAILAN150HUMU0099099150HUPU0287287,*,20151104IMF1511045.TXT
MD,DUFN211467,201511                D,8980529410,0PV4U,20151110,0,60,SPEAKER ASM,M,IMCTM,S0FL05,FTTL,7070,IMCT,S0,PTB,5,310,SR,000000000000 FUJITSU TEN (THAILAN150HUGU0375375150HUPU0288288,*,20151104IMF1511045.TXT
MD,DUFN211468,201511                D,8980529410,0PV4U,20151110,0,30,SPEAKER ASM,M,IMCTM,S0FL05,FTTL,7070,IMCT,S0,PTB,5,800,SR,000000000000 FUJITSU TEN (THAILAN150HUGU0376376,*,20151104IMF1511045.TXT
MD,DUFN211469,201511                D,8980529410,0PV4U,20151110,0,60,SPEAKER ASM,M,IMCTM,S0FL05,FTTL,7070,IMCT,S0,PTB,5,1100,SR,000000000000 FUJITSU TEN (THAILAN150HUNU0055055150HUPU0289289,*,20151104IMF1511045.TXT
MD,DUFN211470,201511                D,8980529410,0PV4U,20151110,0,120,SPEAKER ASM,M,IMCTM,S0FL05,FTTL,7070,IMCT,S0,PTB,5,1510,SR,000000000000 FUJITSU TEN (THAILAN150HUGU0377378150HUPU0290291,*,20151104IMF1511045.TXT
MD,DUFN211471,201511                D,8980529420,0PT4U,20151109,0,60,SPEAKER ASM,M,IMCTM,S9S137,FTTL,7070,IMCT,S9,PTB,30,2300,SR,000000000000 FUJITSU TEN (THAILAN150HUMU0099099150HUPU0287287,*,20151104IMF1511045.TXT
MD,DUFN211472,201511                D,8980529420,0PT4U,20151110,0,60,SPEAKER ASM,M,IMCTM,S9S137,FTTL,7070,IMCT,S9,PTB,30,310,SR,000000000000 FUJITSU TEN (THAILAN150HUGU0375375150HUPU0288288,*,20151104IMF1511045.TXT
MD,DUFN211473,201511                D,8980529420,0PT4U,20151110,0,30,SPEAKER ASM,M,IMCTM,S9S137,FTTL,7070,IMCT,S9,PTB,30,800,SR,000000000000 FUJITSU TEN (THAILAN150HUGU0376376,*,20151104IMF1511045.TXT
MD,DUFN211474,201511                D,8980529420,0PT4U,20151110,0,60,SPEAKER ASM,M,IMCTM,S9S137,FTTL,7070,IMCT,S9,PTB,30,1100,SR,000000000000 FUJITSU TEN (THAILAN150HUNU0055055150HUPU0289289,*,20151104IMF1511045.TXT
MD,DUFN211475,201511                D,8980529420,0PT4U,20151110,0,120,SPEAKER ASM,M,IMCTM,S9S137,FTTL,7070,IMCT,S9,PTB,30,1510,SR,000000000000 FUJITSU TEN (THAILAN150HUGU0377378150HUPU0290291,*,20151104IMF1511045.TXT
MD,DUFN211476,201511                D,8980647040,0PT4U,20151109,0,30,"SPEAKER ASM;RDO,",M,IMCTM,S0TL03,FTTL,7070,IMCT,S0,PTB,15,2300,SR,000000000000 FUJITSU TEN (THAILAN150HUMU0099099150HUPU0287287,*,20151104IMF1511045.TXT
MD,DUFN211477,201511                D,8980647040,0PT4U,20151110,0,30,"SPEAKER ASM;RDO,",M,IMCTM,S0TL03,FTTL,7070,IMCT,S0,PTB,15,310,SR,000000000000 FUJITSU TEN (THAILAN150HUGU0375375150HUPU0288288,*,20151104IMF1511045.TXT
MD,DUFN211478,201511                D,8980647040,0PT4U,20151110,0,15,"SPEAKER ASM;RDO,",M,IMCTM,S0TL03,FTTL,7070,IMCT,S0,PTB,15,800,SR,000000000000 FUJITSU TEN (THAILAN150HUGU0376376,*,20151104IMF1511045.TXT
MD,DUFN211479,201511                D,8980647040,0PT4U,20151110,0,30,"SPEAKER ASM;RDO,",M,IMCTM,S0TL03,FTTL,7070,IMCT,S0,PTB,15,1100,SR,000000000000 FUJITSU TEN (THAILAN150HUNU0055055150HUPU0289289,*,20151104IMF1511045.TXT
MD,DUFN211480,201511                D,8980647040,0PT4U,20151110,0,60,"SPEAKER ASM;RDO,",M,IMCTM,S0TL03,FTTL,7070,IMCT,S0,PTB,15,1510,SR,000000000000 FUJITSU TEN (THAILAN150HUGU0377378150HUPU0290291,*,20151104IMF1511045.TXT
MD,EDFN213903,201511                D,8980529370,0PV1D,20151109,0,120,SPEAKER ASM,M,IMCTM,S5MA12,FTTL,7070,IMCT,S5,PTB,3,2230,SR,000000000000 FUJITSU TEN (THAILAN15025BL001101215084BL0150151,*,20151104IMF1511045.TXT
MD,EDFN213904,201511                D,8980529370,0PV1D,20151110,0,150,SPEAKER ASM,M,IMCTM,S5MA12,FTTL,7070,IMCT,S5,PTB,3,310,SR,000000000000 FUJITSU TEN (THAILAN15020EL011111115025BL001301315058CL003903915081BL007207215085BL0374374,*,20151104IMF1511045.TXT
MD,EDFN213905,201511                D,8980529370,0PV1D,20151110,0,60,SPEAKER ASM,M,IMCTM,S5MA12,FTTL,7070,IMCT,S5,PTB,3,1000,SR,000000000000 FUJITSU TEN (THAILAN15034CL001101115085BL0375375,*,20151104IMF1511045.TXT
MD,EDFN213906,201511                D,8980529370,0PV1D,20151110,0,120,SPEAKER ASM,M,IMCTM,S5MA12,FTTL,7070,IMCT,S5,PTB,3,1510,SR,000000000000 FUJITSU TEN (THAILAN15002CL037337315060DL007607715085FL0005005,*,20151104IMF1511045.TXT
MD,EDFN213907,201511                D,8980529370,0PV4D,20151110,0,30,SPEAKER ASM,M,IMCTM,S0FR05,FTTL,7070,IMCT,S0,PTB,3,1510,SR,000000000000 FUJITSU TEN (THAILAN15059CU0007007,*,20151104IMF1511045.TXT
MD,EDFN213908,201511                D,8980529400,0PT1D,20151110,0,30,SPEAKER ASM,M,IMCTM,S5NB04,2FTTL,7070,IMCT,S5,PTB,15,1000,SR,000000000000 FUJITSU TEN (THAILAN15034CL0011011,*,20151104IMF1511045.TXT
MD,EDFN213909,201511                D,8980529400,0PT1D,20151110,0,90,SPEAKER ASM,M,IMCTM,S5NB04,2FTTL,7070,IMCT,S5,PTB,15,1510,SR,000000000000 FUJITSU TEN (THAILAN15060DL007607715085FL0005005,*,20151104IMF1511045.TXT
MD,EDFN213910,201511                D,8980529400,0PT4D,20151110,0,30,SPEAKER ASM,M,IMCTM,S9AFA2,5FTTL,7070,IMCT,S9,PTB,15,1510,SR,000000000000 FUJITSU TEN (THAILAN15059CU0007007,*,20151104IMF1511045.TXT
MD,EDFN213911,201511                D,8980529410,0PV1D,20151110,0,30,SPEAKER ASM,M,IMCTM,S5MB13,FTTL,7070,IMCT,S5,PTB,5,1510,SR,000000000000 FUJITSU TEN (THAILAN15085FL0005005,*,20151104IMF1511045.TXT
MD,EDFN213912,201511                D,8980529420,0PT4D,20151110,0,30,SPEAKER ASM,M,IMCTM,S9AFA2,5FTTL,7070,IMCT,S9,PTB,30,1510,SR,000000000000 FUJITSU TEN (THAILAN15059CU0007007,*,20151104IMF1511045.TXT
MD,EDFN213913,201511                D,8980647040,0PT4D,20151110,0,15,"SPEAKER ASM;RDO,",M,IMCTM,S0TL03,FTTL,7070,IMCT,S0,PTB,15,1510,SR,000000000000 FUJITSU TEN (THAILAN15059CU0007007,*,20151104IMF1511045.TXT
MD,EDFN213914,201511                D,8982413562,0PT1D,20151110,0,15,"RADIO;AM/FM,CD,F",M,IMCTM,S5NC06,FTTL,7070,IMCT,S5,CPB,3,310,SR,000000000000 FUJITSU TEN (THAILAN15034CL0011011,*,20151104IMF1511045.TXT
MD,EDFN213915,201511                D,8982413572,0PT1D,20151110,0,30,"RADIO;AM/FM,CD,F",M,IMCTM,S5NC06,FTTL,7070,IMCT,S5,PTB,3,1510,SR,000000000000 FUJITSU TEN (THAILAN15060DL0076077,*,20151104IMF1511045.TXT
MD,EDFN213916,201511                D,8982436022,0PT4D,20151110,0,15,"RADIO;AM/FM,CD",M,IMCTM,S9CO00,1FTTL,7070,IMCT,S9,CPB,3,1510,SR,000000000000 FUJITSU TEN (THAILAN15059CU0007007,*,20151104IMF1511045.TXT
